Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1001233,Northeastern Power Company,MCADOO,PA,18237,RT 309 SOUTH,40.8737,-75.9936,"636,501.60","632,227.90","1,562.50","2,711.20","636,501.60",
1004762,Northern Area Landfill,Midlothian,VA,23112,3200 Warbro Road,37.444543,-77.62643,"13,726.00",,"13,726.00",,,
1004786,Northern Border Pipeline Arnegard CS#4,ARNEGARD,ND,58835,2461 136TH AVE NW,47.7706,-103.49766,"50,325.06","50,273.00",23.75,28.31,"50,325.06",
1004906,Northern Border Pipeline Clark CS#10,Clark,ND,57225,15990 421st Avenue,45.06741,-97.797409,"102,420.76","102,315.00",48.25,57.51,"102,420.76",
1005957,Northern Border Pipeline Culbertson CS#3,CULBERTSON,MT,59218,5444 Road 1016,48.215615,-104.396623,"90,926.71","90,833.00",42.75,50.96,"90,926.71",
1004908,Northern Border Pipeline Estelline CS#11,Estelline,ND,57234,18743 470th Avenue,44.586185,-96.89945,"100,757.57","100,654.00",47.25,56.32,"100,757.57",
1006368,Northern Border Pipeline Garvin CS#12,GARVIN,MN,56132,1270 260th Avenue,44.235314,-95.775103,"97,498.28","97,398.00",45.75,54.53,"97,498.28",
1004784,Northern Border Pipeline Glasgow CS#1,Glasgow,MT,59230,150 Compressor Station Road,48.175923,-106.59291,"57,613.18","57,554.00",27.00,32.18,"57,613.18",
1004912,Northern Border Pipeline Glen Ullin CS#6,GLEN ULLIN,ND,58631,4090 62ND AVE,46.82033,-101.76015,"99,032.93","98,931.00",46.50,55.43,"99,032.93",
1005011,Northern Border Pipeline Manning CS#5,MANNING,ND,58642,10510 11TH ST SW,47.251575,-102.7194,"91,352.26","91,258.00",43.00,51.26,"91,352.26",
1004771,Northern Border Pipeline Saint Anthony CS#7,ST. ANTHONY,ND,58566,6245 COUNTY RD 81,46.51388,-100.79812,"89,610.61","89,518.00",42.25,50.36,"89,610.61",
1004917,Northern Border Pipeline Trimont CS#13,TRIMONT,MN,56176,1890 60TH AVENUE,43.76051,-94.75427,"97,601.83","97,501.00",46.00,54.83,"97,601.83",
1004922,Northern Border Pipeline Wetonka CS#9,Westport,ND,57481,36997 128TH Street,45.534084,-98.784482,"95,838.64","95,740.00",45.00,53.64,"95,838.64",
1004785,Northern Border Pipeline Wolf Point CS#2,WOLF POINT,MT,59201,4047 Highway 250E,48.379169,-105.616379,"55,399.99","55,343.00",26.00,30.99,"55,399.99",
1004858,Northern Border Pipeline Zeeland CS#8,ZEELAND,ND,58581,9305 28TH AVENUE SOUTHEAST,46.070856,-99.795221,"103,574.86","103,468.00",48.75,58.11,"103,574.86",
1000771,Northport,NORTHPORT,NY,11768,EATON'S NECK ROAD,40.9231,-73.3417,"2,777,716.09","2,773,976.20","1,496.25","2,243.64","3,824.54","2,773,891.56"
1007865,Northridge Gas Plant,Calvin,OK,74531,,34.8527,-96.229,"89,092.87","89,003.00",41.00,48.87,"89,092.87",
1001498,Northside,JACKSONVILLE,FL,32226,4377 HECKSCHER DRIVE,30.4172,-81.5525,"4,356,303.86","4,325,618.50","11,241.75","19,443.61","8,959.93","4,347,343.93"
