Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006276,ALBANY LANDFILL,ALBANY,NY,12205,525 RAPP RD,42.70,-73.85,51551.8,,51551.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003402,ALBEMARLE CORPORATION HOUSTON PLANT,PASADENA,TX,77503,2500 N. SOUTH ST.,29.74,-95.17,44964.0,44914.9,22.0,27.1,44964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004307,ALBEMARLE CORPORATION-SOUTH PLANT,MAGNOLIA,AR,71753,2270 HWY 79 SOUTH OF MAGNOLIA,33.18,-93.22,82972.1,82886.6,39.0,46.5,82972.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001877,ALCOA INC - WARRICK OPERATIONS,NEWBURGH,IN,47629,,37.92,-87.33,5466627.5,5223496.9,14851.3,25741.8,28944.6,5062652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003562,ALCOA INTALCO WORKS,FERNDALE,WA,98248,4050 MOUNTAIN VIEW RD.,48.85,-122.71,9286.0,1385.4,7899.8,0.9,1387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003147,ALCOA-MARYVILLE-BLOUNT COUNTY LANDFILL,Friendsville,TN,37737,240 Long Powers Road,35.74,-84.06,87754.5,,87754.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004335,ALL PURPOSE LANDFILL,SANTA CLARA,CA,95050,5401 Lafayette Street,37.41,-121.97,41527.0,,41527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005862,ALLEGANY BALLISTICS LABORATORY,KEYSER,WV,26726,210 STATE ROUTE 956,39.56,-78.84,23694.1,23669.4,11.3,13.4,23694.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007192,ALLEN COUNTY PUBLIC WORKS,LA HARPE,KS,66751,1170 2800TH ST,37.90,-95.28,67175.9,62.6,67083.5,29.8,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007645,ALLIANCE SANI LDFL,TAYLOR,PA,18517,398 KEYSER AVENUE,41.40,-75.74,46422.8,641.8,45780.8,0.3,642.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006197,ALLIED IMPERIAL LANDFILL,IMPERIAL,CA,92251,104 EAST ROBINSON ROAD,32.85,-115.53,33559.5,,33559.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
